entry_timestamp,exit_timestamp,side,entry_price,exit_price,pnl_pct,pnl_usd,reason,hold_time
2020-04-07 11:00:00,2020-04-07 14:00:00,1.0,0.2025,0.1982257708145819,-0.02110730461934872,-14.044748002576666,Stop Loss,3
2020-04-07 15:00:00,2020-04-07 20:00:00,1.0,0.2003,0.1954497212160369,-0.024215071312846243,-19.74364510254649,Stop Loss,5
2020-04-07 21:00:00,2020-04-08 05:00:00,1.0,0.193,0.20191057769848905,0.04616879636522822,29.582030174251013,Take Profit,8
2020-04-08 06:00:00,2020-04-09 06:00:00,-1.0,0.199,0.1997,-0.0035175879396983837,-2.2084802925750173,Time Exit,24
2020-04-09 07:00:00,2020-04-09 11:00:00,1.0,0.2,0.1968015473283715,-0.015992263358142605,-8.239767524944517,Stop Loss,4
2020-04-09 12:00:00,2020-04-10 04:00:00,1.0,0.1987,0.19499057175245624,-0.018668486399314295,-9.568661826208432,Stop Loss,16
2020-04-10 13:00:00,2020-04-10 16:00:00,-1.0,0.187,0.184188279874448,0.015035936500278091,7.248944071581088,Stop Loss (Conservative),3
2020-04-10 17:00:00,2020-04-11 03:00:00,-1.0,0.1864,0.19052438547066758,-0.022126531494997683,-33.874364286212156,Stop Loss,10
2020-04-11 04:00:00,2020-04-11 14:00:00,-1.0,0.191,0.1856554893929675,0.02798173092687175,13.666257722303575,Take Profit,10
2020-04-11 21:00:00,2020-04-12 09:00:00,-1.0,0.1872,0.1904602282091918,-0.01741574898072546,-8.921300472085832,Stop Loss,12
2020-04-12 10:00:00,2020-04-12 14:00:00,-1.0,0.1916,0.1944650242721777,-0.01495315382138684,-0.07726576910693421,Stop Loss,4
2020-04-12 15:00:00,2020-04-13 00:00:00,-1.0,0.1935,0.18875342752433982,0.024530090313489315,0.12015045156744658,Take Profit,9
2020-04-13 01:00:00,2020-04-13 20:00:00,-1.0,0.1837,0.18777293288640728,-0.02217165425371411,-0.11335827126857057,Stop Loss,19
2020-04-13 21:00:00,2020-04-14 22:00:00,-1.0,0.1869,0.1859,0.00535045478865704,0.0242522739432852,Time Exit,25
2020-04-15 01:00:00,2020-04-15 06:00:00,-1.0,0.1867,0.1893121675526593,-0.013991256307762752,-0.07245628153881375,Stop Loss,5
2020-04-15 07:00:00,2020-04-15 10:00:00,1.0,0.188,0.18556497960130824,-0.012952236163254022,-0.06726118081627011,Stop Loss,3
2020-04-15 16:00:00,2020-04-16 00:00:00,-1.0,0.184,0.17945049507234276,0.02472557025900673,0.12112785129503366,Take Profit,8
2020-04-16 01:00:00,2020-04-16 07:00:00,-1.0,0.1784,0.18184545910026487,-0.019313111548569864,-0.09906555774284932,Stop Loss,6
2020-04-16 11:00:00,2020-04-17 11:00:00,1.0,0.1889,0.1878,-0.005823186871360601,-0.03161593435680301,Time Exit,24
2020-04-17 12:00:00,2020-04-18 13:00:00,1.0,0.1891,0.194439875168627,0.02823836683567966,0.13869183417839828,Take Profit,25
2020-04-18 14:00:00,2020-04-18 22:00:00,-1.0,0.1941,0.19658758844021743,-0.01281601463275338,-0.0665800731637669,Stop Loss,8
2020-04-19 00:00:00,2020-04-19 05:00:00,1.0,0.1941,0.1916631440382255,-0.01255464174020856,-0.0652732087010428,Stop Loss,5
2020-04-19 10:00:00,2020-04-19 14:00:00,-1.0,0.1927,0.1885248955776189,0.021666343655324934,0.10583171827662467,Take Profit,4
2020-04-19 15:00:00,2020-04-20 03:00:00,1.0,0.1899,0.19195615755615283,0.0108275806011207,0.051637903005603496,Stop Loss (Conservative),12
2020-04-20 04:00:00,2020-04-20 11:00:00,-1.0,0.193,0.1879809646120584,0.026005364704360625,0.1275268235218031,Take Profit,7
2020-04-20 12:00:00,2020-04-20 17:00:00,1.0,0.1892,0.18582181423078797,-0.01785510448843569,-0.09177552244217846,Stop Loss,5
2020-04-20 18:00:00,2020-04-20 19:00:00,1.0,0.1841,0.18065685678712415,-0.01870257041214484,-0.09601285206072421,Stop Loss,1
2020-04-20 22:00:00,2020-04-21 22:00:00,-1.0,0.1829,0.1848,-0.010388190267905877,-0.054440951339529385,Time Exit,24
2020-04-21 23:00:00,2020-04-22 07:00:00,-1.0,0.1833,0.1861496548139436,-0.01554639833029795,-0.08023199165148975,Stop Loss,8
2020-04-22 08:00:00,2020-04-22 13:00:00,-1.0,0.1855,0.18795542059979353,-0.013236768732040615,-0.06868384366020308,Stop Loss,5
2020-04-22 14:00:00,2020-04-23 01:00:00,-1.0,0.1881,0.19050198514886824,-0.0127697243427339,-0.06634862171366951,Stop Loss,11
