fold,test_start,test_end,is_accuracy,oos_accuracy,precision,n_signals
0,2020-04-07 11:00:00,2020-04-28 06:00:00,0.9992831541218637,0.4276729559748428,0.35076135516740037,318
1,2020-04-28 07:00:00,2020-05-19 02:00:00,1.0,0.4028169014084507,0.32841810931382476,355
2,2020-05-19 03:00:00,2020-06-08 22:00:00,0.9993438320209974,0.3743169398907104,0.2837834811430619,366
3,2020-06-08 23:00:00,2020-06-29 18:00:00,0.9993065187239945,0.3726541554959786,0.288378109825831,373
4,2020-06-29 19:00:00,2020-07-20 14:00:00,1.0,0.4044943820224719,0.33143739556323826,445
5,2020-07-20 15:00:00,2020-08-10 10:00:00,1.0,0.517814726840855,0.44233445132614135,421
6,2020-08-10 11:00:00,2020-08-31 06:00:00,1.0,0.36027713625866054,0.2979229881747948,433
7,2020-08-31 07:00:00,2020-09-21 02:00:00,1.0,0.3826879271070615,0.2980206155542381,439
8,2020-09-21 03:00:00,2020-10-11 22:00:00,1.0,0.3728813559322034,0.30097920858484234,413
9,2020-10-11 23:00:00,2020-11-01 18:00:00,1.0,0.3427230046948357,0.2801001378468789,426
10,2020-11-01 19:00:00,2020-11-22 14:00:00,1.0,0.3840749414519906,0.37465913830162656,427
11,2020-11-22 15:00:00,2020-12-13 10:00:00,1.0,0.356234096692112,0.31639756624424803,393
12,2020-12-13 11:00:00,2021-01-03 06:00:00,0.9871987951807228,0.4197860962566845,0.41148937594670815,374
13,2021-01-03 07:00:00,2021-01-24 02:00:00,0.9863739591218774,0.3638814016172507,0.30950550305643015,371
14,2021-01-24 03:00:00,2021-02-13 22:00:00,0.9870875179340028,0.3074866310160428,0.25990577090783473,374
15,2021-02-13 23:00:00,2021-03-06 18:00:00,0.9892008639308856,0.3681462140992167,0.30583104064770544,383
16,2021-03-06 19:00:00,2021-03-27 14:00:00,0.994,0.4155495978552279,0.33394293374186135,373
17,2021-03-27 15:00:00,2021-04-17 10:00:00,0.9946272666218939,0.2912912912912913,0.2547814481147815,333
18,2021-04-17 11:00:00,2021-05-08 06:00:00,0.9853235490326885,0.4170984455958549,0.32874230310987396,386
19,2021-05-08 07:00:00,2021-05-29 02:00:00,0.980327868852459,0.42424242424242425,0.4248590145861601,396
